Ano;Trimestre;V4010;PNAD CONTÍNUA _COD(TÍTULO);avg_teleworkable;minimum_conditions;teleworkable_score
2018;2;2166;Desenhistas gráficos e de multimídia;1;1;1
2018;2;2211;Médicos gerais;0.06666666666666667;1;0.06666666666666667
2018;2;2212;Médicos especialistas;0.25;1;0.25
2018;2;2221;Profissionais de enfermagem;0;0.5;0
2018;2;2250;Veterinários;0;1;0
2018;2;2261;Dentistas;0;1;0
2018;2;2262;Farmacêuticos;0;1;0
2018;2;2264;Fisioterapeutas;0;1;0
2018;2;2265;Dietistas e nutricionistas;0;0.5;0
2018;2;2269;Profissionais da saúde não classificados anteriormente;0.375;1;0.375
2018;2;2310;Professores de universidades e do ensino superior;0.9714285714285714;1;0.9714285714285714
2018;2;2320;Professores de formação profissional;1;1;1
2018;2;2330;Professores do ensino médio;1;1;1
2018;2;2341;Professores do ensino fundamental;1;0.7272727272727273;0.7272727272727273
2018;2;2342;Professores do ensino pré-escolar;1;0.6;0.6
2018;2;2351;Especialistas em métodos pedagógicos;1;1;1
2018;2;2353;Outros professores de idiomas;1;1;1
2018;2;2359;Profissionais de ensino não classificados anteriormente;1;0.6;0.6
2018;2;2411;Contadores;0.75;0.5;0.375
2018;2;2413;Analistas financeiros;1;1;1
2018;2;2421;Analistas de gestão e administração;1;1;1
2018;2;2423;Especialistas em políticas e serviços de pessoal e afins;1;1;1
2018;2;2431;Profissionais da publicidade e da comercialização;1;1;1
2018;2;2511;Analistas de sistemas;1;1;1
2018;2;2512;Desenvolvedores de programas e aplicativos (software);1;1;1
2018;2;2514;Programadores de aplicações;1;1;1
2018;2;2521;Desenhistas e administradores de bases de dados;1;1;1
2018;2;2522;Administradores de sistemas;1;1;1
2018;2;2611;Advogados e juristas;1;1;1
2018;2;2619;Profissionais em direito não classificados anteriormente;1;1;1
2018;2;2634;Psicólogos;1;1;1
2018;2;2636;Ministros de cultos religiosos, missionários e afins;1;1;1
2018;2;2642;Jornalistas;1;0.75;0.75
2018;2;2652;Músicos, cantores e compositores;0.25;1;0.25
2018;2;2654;Diretores de cinema, de teatro e afins;0.5714285714285714;1;0.5714285714285714
2018;2;3115;Técnicos em engenharia mecânica;0;1;0
2018;2;3212;Técnicos de laboratórios médicos;0;0.3333333333333333;0
2018;2;3213;Técnicos e assistentes farmacêuticos;0;0.6;0
2018;2;3221;Profissionais de nível médio de enfermagem;0;0.42857142857142855;0
2018;2;3222;Profissionais de nível médio de partos;0;1;0
2018;2;3253;Trabalhadores comunitários da saúde;0;1;0
2018;2;3255;Técnicos e assistentes fisioterapeutas;0;0.6666666666666666;0
2018;2;3256;assistentes de medicina;0;1;0
2018;2;3311;Agentes e corretores de bolsa, câmbio e outros serviços financeiros;1;1;1
2018;2;3312;Agentes de empréstimos e financiamento;0.6666666666666666;1;0.6666666666666666
2018;2;3313;Contabilistas e guarda livros;1;1;1
2018;2;3314;Profissionais de nível médio de serviços estatísticos, matemáticos e afins;0.8;1;0.8
2018;2;3321;Agentes de seguros;1;1;1
2018;2;3322;Representantes comerciais;1;0.6666666666666666;0.6666666666666666
2018;2;3323;Agentes de compras;1;0.75;0.75
2018;2;3332;Organizadores de conferências e eventos;0;1;0
2018;2;3333;Agentes de emprego e agenciadores de mão de obra;1;1;1
2018;2;3334;Agentes imobiliários;0.6666666666666666;1;0.6666666666666666
2018;2;3339;Agentes de serviços comerciais não classificados anteriormente;0.7142857142857143;1;0.7142857142857143
2018;2;3341;Supervisores de secretaria;1;1;1
2018;2;3343;Secretários executivos e administrativos;1;1;1
2018;2;3344;Secretários de medicina;1;0.5;0.5
2018;2;3352;Agentes da administração tributária;0;1;0
2018;2;3411;Profissionais de nível médio do direito e serviços legais e afins;0.8333333333333334;1;0.8333333333333334
2018;2;3422;Treinadores, instrutores e árbitros de atividades esportivas;0.5;1;0.5
2018;2;3423;Instrutores de educação física e atividades recreativas;0.5;1;0.5
2018;2;3431;Fotógrafos;1;0.75;0.75
2018;2;3511;Técnicos em operações de tecnologia da informação e das comunicações;1;1;1
2018;2;3513;Técnicos de redes e sistemas de computadores;1;1;1
2018;2;3521;Técnicos de radiodifusão e gravação audiovisual;0.8;0.5;0.4
2018;2;4110;Escriturários gerais;1;0.7872340425531915;0.7872340425531915
2018;2;4120;Secretários (geral);1;1;1
2018;2;4221;Trabalhadores de agências de viagem;0;0.5;0
2018;2;4222;Trabalhadores de centrais de atendimento;0.3333333333333333;0.6428571428571429;0.2142857142857143
2018;2;4223;Telefonistas;0.5;1;0.5
2018;2;4225;Trabalhadores dos serviços de informações;1;1;1
2018;2;4227;Entrevistadores de pesquisas de mercado;1;1;1
2018;2;4311;Trabalhadores de contabilidade e cálculo de custos;0.5;1;0.5
2018;2;4312;Trabalhadores de serviços estatísticos, financeiros e de seguros;0.7142857142857143;1;0.7142857142857143
2018;2;4321;Trabalhadores de controle de abastecimento e estoques;0.2;0.5714285714285714;0.11428571428571428
2018;2;4323;Trabalhadores de serviços de transporte;1;1;1
2018;2;4412;Trabalhadores de serviços de correios;0.5;1;0.5
2018;2;4416;Trabalhadores do serviço de pessoal;1;0;0
2018;2;4419;Trabalhadores de apoio administrativo não classificados anteriormente;1;1;1
2018;2;5111;Auxiliares de serviço de bordo;0;1;0
2018;2;5120;Cozinheiros;0.25;0.4;0.1
2018;2;5131;Garçons;0;0.5714285714285714;0
2018;2;5132;atendentes de bar;0;1;0
2018;2;5141;Cabeleireiros;0;0.47058823529411764;0
2018;2;5142;Especialistas em tratamento de beleza e afins;0.25;0.5384615384615384;0.1346153846153846
2018;2;5153;Porteiros e zeladores;0;0.6;0
2018;2;5164;Cuidadores de animais;0;0.5;0
2018;2;5169;Trabalhadores de serviços pessoais não classificados anteriormente;0.6666666666666666;1;0.6666666666666666
2018;2;5211;Vendedores de quiosques e postos de mercados;0;0.5555555555555556;0
2018;2;5222;Supervisores de lojas;0;1;0
2018;2;5223;Balconistas e vendedores de lojas;0;0.53125;0
2018;2;5230;Caixas e expedidores de bilhetes;0;0.7142857142857143;0
2018;2;5242;Demonstradores de lojas;0;0;0
2018;2;5244;Vendedores por telefone;1;0.8;0.8
2018;2;5245;Frentistas de posto de gasolina;0;0.3333333333333333;0
2018;2;5246;Balconistas dos serviços de alimentação;0;0.4;0
2018;2;5249;Vendedores não classificados anteriormente;0;0.5714285714285714;0
2018;2;5311;Cuidadores de crianças;1;0.5294117647058824;0.5294117647058824
2018;2;5312;Ajudantes de professores;1;0.8;0.8
2018;2;5322;Trabalhadores de cuidados pessoais a domicílios;0;1;0
2018;2;5329;Trabalhadores de cuidados pessoais nos serviços de saúde não classificados anteriormente;0;1;0
2018;2;5412;Policiais;0;1;0
2018;2;5413;Guardiões de presídios;0;1;0
2018;2;5414;Guardas de segurança;0;0.6;0
2018;2;5419;Trabalhadores dos serviços de proteção e segurança não classificados anteriormente;0.14285714285714285;0;0
2018;2;7112;Pedreiros;0;0.2857142857142857;0
2018;2;7115;Carpinteiros;0;1;0
2018;2;7121;Telhadores;0;1;0
2018;2;7122;Aplicadores de revestimentos cerâmicos, pastilhas, pedras e madeiras;0;1;0
2018;2;7123;Gesseiros;0;1;0
2018;2;7125;Vidraceiros;0;0.5;0
2018;2;7126;Bombeiros e encanadores;0;0.3333333333333333;0
2018;2;7131;Pintores e empapeladores;0;0.3333333333333333;0
2018;2;7132;Lustradores;0;1;0
2018;2;7211;Moldadores de metal e macheiros;0;1;0
2018;2;7212;Soldadores e oxicortadores;0;0.6;0
2018;2;7213;Chapistas e caldeireiros;0;0.5714285714285714;0
2018;2;7214;Montadores de estruturas metálicas;0;0;0
2018;2;7222;Ferramenteiros e afins;0;1;0
2018;2;7223;Reguladores e operadores de máquinas-ferramentas;0;1;0
2018;2;7231;Mecânicos e reparadores de veículos a motor;0;0.6666666666666666;0
2018;2;7233;Mecânicos e reparadores de máquinas agrícolas e industriais;0;0.25;0
2018;2;7314;Ceramistas e afins (preparação e fabricação);0;1;0
2018;2;7318;Artesãos de tecidos, couros e materiais semelhantes;0;1;0
2018;2;7322;Impressores;0;1;0
2018;2;7323;Encadernadores e afins;0;1;0
2018;2;7411;Eletricistas de obras e afins;0;0.75;0
2018;2;7412;Mecânicos e ajustadores eletricistas;0;0.3333333333333333;0
2018;2;7421;Mecânicos e reparadores em eletrônica;0;1;0
2018;2;7422;Instaladores e reparadores em tecnologias da informação e comunicações;0;0.3333333333333333;0
2018;2;7512;Padeiros, confeiteiros e afins;0;0.8;0
2018;2;7522;Marceneiros e afins;0;0;0
2018;2;7531;Alfaiates, modistas, chapeleiros e peleteiros;0;0.25;0
2018;2;7532;Trabalhadores qualificados da preparação da confecção de roupas;0.5;1;0.5
2018;2;7534;Tapeceiros, colchoeiros e afins;0;0;0
2018;2;7543;Classificadores e provadores de produtos (exceto de bebidas e alimentos);0;1;0
2018;2;8114;Operadores de máquinas para fabricar cimento, pedras e outros produtos minerais;0;0;0
2018;2;8121;Operadores de instalações de processamento de metais;0;0;0
2018;2;8131;Operadores de instalações e máquinas de produtos químicos;0;1;0
2018;2;8141;Operadores de máquinas para fabricar produtos de borracha;0;0;0
2018;2;8142;Operadores de máquinas para fabricar produtos de material plástico;0;0.75;0
2018;2;8143;Operadores de máquinas para fabricar produtos de papel;0;0;0
2018;2;8152;Operadores de teares e outras máquinas de tecelagem;0;1;0
2018;2;8153;Operadores de máquinas de costura;0;0.75;0
2018;2;8211;Mecânicos montadores de maquinaria mecânica;0;1;0
2018;2;8212;Montadores de equipamentos elétricos e eletrônicos;0;0.4;0
2018;2;8322;Condutores de automóveis, taxis e caminhonetes;0;0.7419354838709677;0
2018;2;8331;Condutores de ônibus e bondes;0;0.5;0
2018;2;8332;Condutores de caminhões pesados;0;0.4444444444444444;0
2018;2;8342;Operadores de máquinas de movimentação de terras e afins;0;1;0
2018;2;8343;Operadores de guindastes, gruas, aparatos de elevação e afins;0;1;0
2018;2;8344;Operadores de empilhadeiras;0;0;0
2018;2;9111;Trabalhadores dos serviços domésticos em geral;0;0.44;0
2018;2;9112;Trabalhadores de limpeza de interior de edifícios, escritórios, hotéis e outros estabelecimentos;0;0.5;0
2018;2;9212;Trabalhadores elementares da pecuária;0;0;0
2018;2;9313;Trabalhadores elementares da construção de edifícios;0;0.125;0
2018;2;9321;empacotadores manuais;0;1;0
2018;2;9329;Trabalhadores elementares da indústria de transformação não classificados anteriormente;0;0.3333333333333333;0
2018;2;9333;Carregadores;0.25;0.5;0.125
2018;2;9411;Preparadores de comidas rápidas;0;0;0
2018;2;9412;Ajudantes de cozinha;0;0.4;0
2018;2;9621;Mensageiros, carregadores de bagagens e entregadores de encomendas;0;0.3333333333333333;0
2018;2;9629;Outras ocupações elementares não classificadas anteriormente;0.25;0.5;0.125
2018;3;1211;Dirigentes financeiros;1;1;1
