date,year,quarter,price_real_month,area_m2,bedrooms,suite,bathrooms,garage,price_m2,condo_real,metro_dist_km,gym,field_quadra,elevator,furnished,swimming_pool,delta_cbd_farialima,inequality_meter,inequality_rank,teleworkable
28/08/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
29/08/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
09/05/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
09/12/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
19/09/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
20/09/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
27/09/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
28/09/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
10/06/2021,2021,4,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.221
13/10/2021,2021,4,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.221
20/10/2021,2021,4,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.221
27/10/2021,2021,4,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.221
11/03/2021,2021,4,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.221
11/05/2021,2021,4,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.221
11/06/2021,2021,4,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.221
13/11/2021,2021,4,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.221
21/11/2021,2021,4,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.221
13/12/2021,2021,4,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.221
27/12/2021,2021,4,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.221
18/10/2018,2018,4,4129999,196,2,2,2,3,21071.42347,3500,1.259601339,,,,,,2.907434,75.40625,2,0.173
22/02/2018,2018,1,965054,46,1,0,1,1,20979.43478,0,1.817088334,,,,,,0.7072888,61.78125,15,0.174
22/08/2018,2018,3,2747500,131,2,0,2,2,20973.28244,0,0.182874119,,,,,,3.5790197,75.40625,2,0.112
08/07/2018,2018,3,2450000,117,3,3,3,3,20940.17094,1540,1.429749223,,,,,,3.1032444,71.0625,4,0.179
24/09/2018,2018,3,1000999,48,1,0,1,1,20854.14583,1400,1.817088334,,,,,,0.7072888,61.78125,15,0.181
15/07/2021,2021,3,2500000,120,1,1,2,3,20833.33333,1800,1.208383706,1,0,1,1,1,2.9554989,59.7,11,0.37
16/07/2021,2021,3,2500000,120,1,1,2,3,20833.33333,1800,1.208383706,1,0,1,1,1,2.9554989,59.7,11,0.37
13/02/2019,2019,1,2289700,110,2,0,2,1,20815.45455,,0.533780693,,,,,,2.9737407,71.21875,2,0.183
11/05/2021,2021,4,2990000,144,3,2,4,3,20763.88889,1856,0.806817504,1,1,0,1,1,1.6803773,65.28125,4,0.222
11/06/2021,2021,4,2990000,144,3,2,4,3,20763.88889,1856,0.806817504,1,1,0,1,1,1.6803773,65.28125,4,0.222
18/01/2019,2019,1,910000,44,2,1,2,2,20681.81818,1316,1.587390011,,,,,,1.0300242,71.21875,2,0.183
20/08/2018,2018,3,1000999,49,1,0,1,1,20428.55102,1400,1.817088334,,,,,,0.7072888,61.78125,15,0.181
20/08/2018,2018,3,979999,48,1,0,1,1,20416.64583,1400,1.817088334,,,,,,0.7072888,61.78125,15,0.181
09/04/2018,2018,3,979999,48,1,0,1,1,20416.64583,1400,1.817088334,,,,,,0.7072888,61.78125,15,0.181
18/12/2018,2018,4,975169,48,1,1,1,1,20316.02083,630,1.817088334,,,,,,0.7072888,61.78125,15,0.296
16/03/2021,2021,1,2600000,128,3,3,4,3,20312.5,1186,0.546227808,1,1,1,1,1,2.7472337,67.9375,1,0.382
04/11/2021,2021,2,2600000,128,3,3,4,3,20312.5,1186,0.546227808,1,1,1,1,1,2.7472337,67.9375,1,0.334
18/01/2019,2019,1,2457000,121,3,1,4,1,20305.78512,1470,0.697928871,,,,,,5.6804701,65.625,7,0.105
07/04/2018,2018,3,930999,46,1,1,1,1,20239.1087,560,1.975773075,,,,,,0.6057733,61.78125,15,0.181
26/10/2018,2018,4,3626000,180,3,1,3,3,20144.44444,0,2.063180485,,,,,,1.2468278,71.0625,4,0.192
11/12/2018,2018,4,5250000,261,3,1,2,4,20114.94253,2345,2.52950546,,,,,,0.2789368,61.78125,15,0.296
26/12/2018,2018,4,399000,20,3,2,2,3,19950,,4.787900383,,,,,,8.6511787,51.5,33,0.204
16/11/2018,2018,4,2982000,150,1,1,2,3,19880,2450,0.918245003,,,,,,1.5700836,71.0625,4,0.192
04/11/2021,2021,2,1390000,70,1,1,2,1,19857.14286,980,1.763807945,1,0,1,1,1,1.0646727,67.9375,1,0.334
24/10/2021,2021,4,2280000,115,2,2,3,2,19826.08696,980,0.603587762,1,1,1,1,1,5.1317085,66.3125,3,0.17
27/10/2021,2021,4,2280000,115,2,2,3,2,19826.08696,980,0.603587762,1,1,1,1,1,5.1317085,66.3125,3,0.17
06/12/2018,2018,2,910000,46,1,1,1,0,19782.6087,1540,1.950793741,,,,,,0.6199291,61.78125,15,0.427
07/08/2018,2018,3,910000,46,1,1,1,2,19782.6087,1540,1.950793741,,,,,,0.6199291,61.78125,15,0.181
26/01/2019,2019,1,2450000,124,2,0,2,0,19758.06452,,2.084152232,,,,,,11.6619781,48.84375,45,0.139
19/02/2019,2019,1,944999,48,1,1,1,2,19687.47917,1400,1.422606659,,,,,,1.0429144,62.5,11,0.303
19/01/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
26/01/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
02/02/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
02/09/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
16/02/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
23/02/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
03/02/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
03/09/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
16/03/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
23/03/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
30/03/2021,2021,1,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.382
04/10/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
04/11/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
17/04/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
23/04/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
24/04/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
05/01/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
05/03/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
05/10/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
17/05/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
30/05/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
06/06/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
14/06/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
16/06/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
23/06/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
30/06/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
07/01/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
07/08/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
15/07/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
16/07/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
23/07/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
30/07/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
31/07/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
08/07/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
14/08/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
21/08/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
