date,year,quarter,price_real_month,area_m2,bedrooms,suite,bathrooms,garage,price_m2,condo_real,metro_dist_km,gym,field_quadra,elevator,furnished,swimming_pool,delta_cbd_farialima,inequality_meter,inequality_rank,teleworkable
29/11/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
13/12/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
20/12/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
27/12/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
09/03/2021,2021,1,1700000,88,2,1,2,2,19318.18182,1050,0.348980218,1,1,1,0,1,2.9997761,59.875,10,0.413
23/04/2021,2021,2,1750000,92,2,1,2,2,19021.73913,1019,1.681547917,1,0,1,0,1,0.8168387,67.9375,1,0.334
10/05/2021,2021,2,895000,48,1,1,1,1,18645.83333,1120,0.938924165,1,0,1,1,1,1.5308128,65.28125,4,0.15
13/10/2021,2021,4,1300000,70,1,1,1,1,18571.42857,720,1.681547917,1,0,1,1,1,0.8168387,67.9375,1,0.292
05/09/2021,2021,3,1477000,80,2,2,3,2,18462.5,794,1.365910367,1,0,1,1,1,2.6319956,67.9375,1,0.426
12/09/2021,2021,3,1477000,80,2,2,3,2,18462.5,794,1.365910367,1,0,1,1,1,2.6319956,67.9375,1,0.426
10/09/2020,2020,3,4000000,217,3,3,3,4,18433.17972,3000,1.547512414,0,0,1,1,0,1.6133445,63.25,6,0.429
20/10/2021,2021,4,1080000,59,1,1,2,1,18305.08475,1200,0.833809897,1,1,1,1,1,2.4445708,43.125,68,0.224
22/01/2020,2020,1,950000,52,1,1,1,2,18269.23077,800,2.607516641,1,0,1,0,1,0.4717138,64.6875,4,0.322
15/07/2021,2021,3,1265000,70,1,1,2,2,18071.42857,860,0.543906983,0,0,1,0,0,4.4029014,66.3125,3,0.339
16/07/2021,2021,3,1265000,70,1,1,2,2,18071.42857,860,0.543906983,0,0,1,0,0,4.4029014,66.3125,3,0.339
30/07/2021,2021,3,1265000,70,1,1,2,2,18071.42857,860,0.543906983,0,0,1,0,0,4.4029014,66.3125,3,0.339
31/07/2021,2021,3,1265000,70,1,1,2,2,18071.42857,860,0.543906983,0,0,1,0,0,4.4029014,66.3125,3,0.339
24/10/2021,2021,4,1265000,70,1,1,2,2,18071.42857,860,0.543906983,1,0,1,1,1,4.4029014,66.3125,3,0.17
27/10/2021,2021,4,1265000,70,1,1,2,2,18071.42857,860,0.543906983,1,0,1,1,1,4.4029014,66.3125,3,0.17
29/11/2021,2021,4,1265000,70,1,1,2,2,18071.42857,860,0.543906983,1,0,1,1,1,4.4029014,66.3125,3,0.17
27/09/2021,2021,3,1710000,95,2,1,2,1,18000,2000,1.09425991,0,0,1,0,0,3.0864222,59.7,11,0.37
21/11/2021,2021,4,1403000,78,2,2,3,2,17987.17949,850,0.420857909,1,0,1,1,1,4.6848905,59.875,10,0.284
16/03/2021,2021,1,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.382
23/03/2021,2021,1,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.382
30/03/2021,2021,1,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.382
10/04/2021,2021,2,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.334
11/04/2021,2021,2,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.334
17/04/2021,2021,2,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.334
23/04/2021,2021,2,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.334
24/04/2021,2021,2,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.334
01/05/2021,2021,2,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.334
03/05/2021,2021,2,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.334
10/05/2021,2021,2,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.334
17/05/2021,2021,2,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.334
30/05/2021,2021,2,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.334
06/06/2021,2021,2,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.334
14/06/2021,2021,2,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.334
16/06/2021,2021,2,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.334
23/06/2021,2021,2,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.334
30/06/2021,2021,2,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.334
01/07/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
08/07/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
15/07/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
16/07/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
23/07/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
30/07/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
31/07/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
07/08/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
14/08/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
21/08/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
28/08/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
29/08/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
05/09/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
12/09/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
19/09/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
20/09/2021,2021,3,1350000,76,2,1,2,2,17763.15789,1200,2.208639571,1,0,1,0,1,0.7757491,67.9375,1,0.426
