quarter,year,date,area_m2,bedrooms,suite,bathrooms,garage,price_real_month,price_m2,condo_real,metro_dist_km,gym,field_quadra,elevator,furnished,swimming_pool,delta_cbd_farialima,inequality_meter,inequality_rank,teleworkable
1,2018,16/01/2018,60,2,1,2,2,560000,9333.33,840,0.766893584,,,,,,1.8309756,71.0625,4,0.087
1,2018,15/01/2018,60,2,0,2,1,336000,5600,329,1.620311319,,,,,,11.489553,54.6875,26,0.049
1,2018,21/01/2018,60,2,1,2,4,448000,7466.67,489,0.952007515,,,,,,6.2646469,70.0625,6,0.079
1,2018,26/01/2018,60,2,1,2,1,374500,6241.67,458,1.055045367,,,,,,6.0818985,53.75,29,0.075
1,2018,06/01/2018,60,2,0,1,1,350000,5833.33,350,0.506384524,,,,,,13.4330051,54.40625,28,0.054
1,2018,31/01/2018,60,2,1,2,2,357000,5950,670,1.446335002,,,,,,9.2205092,63.03125,13,0.047
1,2018,30/01/2018,60,2,1,2,1,329000,5483.33,437,0.38037604,,,,,,8.3433551,55.3125,24,0.054
1,2018,10/01/2018,61,2,1,2,1,586600,9616.39,251,1.834133153,,,,,,3.9149681,49.65625,41,0.063
1,2018,09/01/2018,61,2,1,1,1,560000,9180.33,350,0.438631919,,,,,,2.7822805,61.78125,15,0.174
1,2018,31/01/2018,61,2,0,1,1,610400,10006.56,0,1.069494897,,,,,,3.5148329,47.65625,47,0.092
1,2018,04/01/2018,62,2,0,2,1,385000,6209.68,616,2.3019732,,,,,,0.2978207,61.78125,15,0.174
1,2018,13/01/2018,62,2,1,2,1,329000,5306.45,489,1.906513548,,,,,,11.7342707,54.6875,26,0.098
1,2018,11/01/2018,62,2,0,1,1,364000,5870.97,406,0.611771399,,,,,,4.7347123,67.75,8,0.099
1,2018,17/01/2018,62,2,1,2,1,577500,9314.52,478,0.639874994,,,,,,5.144394,67.75,8,0.099
1,2018,31/01/2018,62,2,1,1,2,352018,5677.71,0,0.229035888,,,,,,8.8123437,63.03125,13,0.047
1,2018,24/01/2018,62,2,1,2,1,364000,5870.97,385,0.815638358,,,,,,7.2161789,46.84375,51,0.073
1,2018,25/01/2018,63,2,1,2,1,593600,9422.22,519,0.263602245,,,,,,3.4694864,75.40625,2,0.093
