date;area_m2;bedrooms;suite;bathrooms;garage;price_real_month;price_m2;condo_real;metro_dist_km;gym;field_quadra;elevator;furnished;swimming_pool;delta_cbd_farialima;inequality_meter;inequality_rank;teleworkable
21/06/2018;42;1;0;1;1;2797;66.5952381;770;0.519678579;;;;;;3.72951456;75.40625;2;0.266
28/04/2019;116;2;0;1;2;7797;67.21551724;0;0.519678579;0;0;0;0;0;3.72951456;65.76666667;6;0.183
28/11/2018;130;2;1;2;1;2881;22.16153846;765;0.617979782;;;;;;3.617469403;75.40625;2;0.173
10/04/2021;32;1;0;1;1;1900;59.375;0;0.636879424;0;0;0;0;0;3.602257134;59.7;11;0.222
16/03/2021;32;1;0;1;1;2000;62.5;0;0.636879424;0;0;0;0;0;3.602257134;59.7;11;0.233
04/09/2019;135;3;1;3;1;6000;44.44444444;1040;0.754442403;0;0;0;0;0;3.476749072;65.76666667;6;0.257
04/09/2018;270;3;3;3;2;7000;25.92592593;1959;0.616819683;;;;;;3.635287579;75.40625;2;0.112
25/02/2018;125;3;1;3;1;3639;29.112;1260;0.616819683;;;;;;3.635287579;75.40625;2;0.093
23/02/2019;130;4;1;4;1;3849;29.60769231;770;0.616819683;;;;;;3.635287579;65.76666667;6;0.201
15/02/2019;150;2;1;2;2;4900;32.66666667;2095;0.616819683;;;;;;3.635287579;65.76666667;6;0.201
23/11/2018;150;2;1;2;2;4900;32.66666667;0;0.616819683;;;;;;3.635287579;75.40625;2;0.173
23/11/2018;135;3;1;3;2;5600;41.48148148;0;0.616819683;;;;;;3.635287579;75.40625;2;0.173
15/02/2019;73;1;0;1;0;3150;43.15068493;630;0.616819683;;;;;;3.635287579;65.76666667;6;0.201
08/06/2018;30;1;1;1;1;1610;53.66666667;399;0.616819683;;;;;;3.635287579;75.40625;2;0.266
08/02/2019;50;1;1;1;1;2989;59.78;1000;0.616819683;;;;;;3.635287579;65.76666667;6;0.201
24/05/2018;38;1;0;1;1;2800;73.68421053;0;0.616819683;;;;;;3.635287579;75.40625;2;0.266
28/04/2019;239;3;0;3;2;14500;60.66945607;0;0.738129946;0;0;0;0;0;3.461006877;65.76666667;6;0.183
18/01/2019;151;3;1;3;1;2450;16.22516556;1197;0.738129946;;;;;;3.461006877;65.76666667;6;0.201
08/02/2019;280;4;1;4;2;7000;25;1750;0.738129946;;;;;;3.461006877;65.76666667;6;0.201
30/11/2018;230;4;1;4;3;7000;30.43478261;1750;0.738129946;;;;;;3.461006877;75.40625;2;0.173
16/02/2019;172;3;2;3;2;6300;36.62790698;1323;0.738129946;;;;;;3.461006877;65.76666667;6;0.201
15/02/2019;180;3;2;3;3;6860;38.11111111;1896;0.738129946;;;;;;3.461006877;65.76666667;6;0.201
21/09/2018;168;3;1;3;1;6650;39.58333333;1344;0.738129946;;;;;;3.461006877;75.40625;2;0.112
27/12/2018;161;3;1;3;1;7000;43.47826087;1400;0.738129946;;;;;;3.461006877;75.40625;2;0.173
01/11/2018;153;3;1;3;1;12600;82.35294118;1750;0.738129946;;;;;;3.461006877;75.40625;2;0.173
02/02/2019;45;1;0;1;1;1435;31.88888889;454;0.258128499;;;;;;3.995881248;65.76666667;6;0.201
02/02/2019;45;1;0;1;1;1575;35;454;0.258128499;;;;;;3.995881248;65.76666667;6;0.201
21/10/2018;260;2;1;2;2;7000;26.92307692;0;0.262629901;;;;;;3.97107494;75.40625;2;0.173
03/10/2018;220;2;1;2;2;6300;28.63636364;1854;1.271429865;;;;;;2.915042016;75.40625;2;0.173
25/02/2019;170;2;1;2;2;5950;35;965;1.271429865;;;;;;2.915042016;65.76666667;6;0.201
05/03/2018;170;2;1;2;2;5950;35;965;1.271429865;;;;;;2.915042016;75.40625;2;0.093
05/11/2018;170;2;1;2;2;5950;35;965;1.271429865;;;;;;2.915042016;75.40625;2;0.173
18/12/2018;170;2;1;2;2;5950;35;965;1.271429865;;;;;;2.915042016;75.40625;2;0.173
19/04/2018;45;1;1;1;1;1085;24.11111111;944;0.448899647;;;;;;3.755525799;75.40625;2;0.266
05/04/2018;42;1;0;1;1;1420;33.80952381;628;0.448899647;;;;;;3.755525799;75.40625;2;0.266
07/06/2018;42;1;1;1;1;1420;33.80952381;819;0.448899647;;;;;;3.755525799;75.40625;2;0.266
